MCZ Number,jl,sl,mass,sex,sex2,imageJ,eye.area,po,ao,lense foam n_seq,volume
42402,23.74,9.3,3.216,M,DM,Y,15.454,2.235,5.178,3_8,209248435.1
42403,39.38,13.3,15.123,M,DF,Y,35.454,5.224,10.092,4_1,630596306.6
42405,38.72,13.4,18.948,M,DM,Y,33.069,3.743,8.074,3_5,648705818.8
53276,34.92,13.2,10.726,M,DM,Y,41.283,8.182,6.518,3_6,698170184.3
53278,20.03,7.6,1.687,F,UF,Not sure,10.856,1.762,4.306,4_7,174357417.5
53279,NA,9.5,3.03,M,DM,Y,15.021,2.309,1.798,4_4,296923592.8
53280.1,16.26,6.7,1.224,M,DM,Y,8.359,1.618,1.933,3_9,83237457.64
53280.2,32.6,12.3,10.09,M,DM,Y,30.2321,5.779,5.701,3_10,506168383.9
53287,30.18,12.1,7.332,M,DM,Y,25.12,4.151,5.204,4_6,422406089.8
58824,17.21,6.5,0.738,,?,Y,8.127,0.74,1.992,4_2,107190063.4
59445.4,NA,14,12.823,F,DF,Y,43.414,4.193,16.348,4_5,653187949.5
62202,21.69,8.8,2.543,F,UF,Y,14.156,0.799,3.75,4_3,331606254.8
89078,43.2,15.5,23.643,M,DM,Y,50.723,9.451,6.501,3_4,879778735.9
91745.1,,9,2.831,M,DM,Y,21.345,3.104,5.943,4_8,269388540.8
131755,21.42,8.9,4.396,F,UF,Y,11.368,1.587,4.806,2_4,127043797.1
131759,26.29,10,7.213,M,DM,Y,19.742,5.327,5.514,1_6,297021406.5
131760,33.89,11.9,8.783,F,f,Y,29.369,3.726,8.737,2_6,577475095.4
131761,35.24,14,19.621,M,DM,Y,31.355,6.115,8.479,1_3,606590021.9
131763,37.84,14,19.006,M,DM,Y,35.793,5.104,8.429,1_4,524633762.9
131765,32.37,11.8,10.72,M,m,Y,26.488,4.372,6.2221,1_9,479754899.8
131767,26.18,10.6,9.547,F,UF,Y,18.221,1.807,6.76,2_5,243239449
131768,25.06,10.5,8.203,M,DM,Y,17.134,4.052,6.474,1_10,265198982.4
131769,37.14,13.6,19.751,M,DM,Y,35.118,7.158,9.154,1_5,704147333.3
131771,20.64,8.4,3.603,F,UF,Y,13.722,1.866,4.6,2_1,140627393.5
131773,25.46,10.1,5.548,M,m,Y,19.421,3.306,7.193,3_2,218871125.3
131774.2,24.51,9.6,5.929,M,UM,Y,17.304,2.854,4.544,2_2,236861369.7
131776,36.05,13.5,15.7,F,UF,Not sure,30.471,2.321,6.472,1_8,541798295
131778,33.14,12.6,10.68,M,DM,N,,,,3_3,580082912.9
131780,27.46,11.3,6.193,M,m,Y,20.416,3.211,5.709,2_3,299284968.9
131791.1,18.05,6.9,1.166,?,?,Y,9.638,0.982,3.563,3_1,85910795.06
131791.2,23.36,8.8,3.197,M,DM,Y,13.991,2.939,3.808,2_10,254216208.6
131791.3,27.37,9.9,4.511,F,UF,Y,17.012,1.065,6.439,2_9,276776593.7
131793,31.03,11.3,7.227,M,m,Y,25.078,7.366,8.802,1_1,457283449.6
131795,27.22,10.9,4.632,F,f,Y,19.537,1.756,5.43,1_2,307398674.4
131797,29.31,11,7.449,F,f,Y,25.299,1.748,4.941,5_5,372991819.6
131798.1,24.15,8.5,4.316,M,DM,Y,15.79,2.384,2.945,2_8,211424388.5
131798.2,29.36,11,5.239,M,DM,Not sure,24.835,5.633,4.562,2_7,424916117.2
131799,29.82,11.6,7.593,F,f,Y,21.03,1.836,5.397,1_7,515981405.8
131803,26.98,10.6,5.33,F,UF,Y,18.041,1.222,4.857,5_3,264217198.3
131812,19.14,7.95,2.001,F,UF,Y,9.361,0.809,2.748,5_2,84862217.53
131814,24.03,9.45,3.167,F,UF,Y,15.627,1.467,6.01,5_1,200992357.8
131817,16.72,6.49,1.369,,?,Y,7.148,0.415,2.335,4_10,94786103.84
131818,21.14,8,3.26,M,DM,Y,10.574,1.001,3.519,4_9,140787121.4
131819,18.66,6.9,1.619,F,UF,Y,11.295,0.759,3.846,5_4,100839172.1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
