MCZ Number,jl,sl,mass,sex,eye,po,ao,lense foam (n_seq),volume,
70586,21.03,11.6,4.9422,F,7.861,1.059,,4_9,31528754.97,
70595,11.41,5.78,0.5561,,2.044,0.143,,7_3,6059294.83,
94595,20.07,11,3.1977,M,10.271,3.376,0.278,5_3,70771842.07,
97031,18.88,9.68,2.6445,F,10.369,0.793,0.078,6_6,40018454.96,
131450,12.37,6.3,0.7003,,2.131,0.296,,7_5,6843622.92,
131457,11.01,6.1,0.6583,F,2.402,0.26,,7_4,7132055.28,
131477,20.52,10.81,4.857,M,12.562,4.251,0.098,6_7,60366666.2,
131484,17.71,9.18,2.574,F,5.222,0.111,,1_4,15879364.41,
131580,19.84,10.89,4.4336,M,13.212,3.909,0.163,4_7,49672997.55,
131729,20.76,11.49,3.2809,M,14.898,2.928,0.31,3_4,71811468.64,
138045,18.03,9.37,2.7733,M,6.752,1.163,0.026,6_5,22704198.96,
149512,20.13,10.35,3.8907,F,6.717,0.601,,2_9,22737335.11,
149513,17.04,8.99,2.4222,M,5.998,1.438,,4_2,22835143.44,
155387,14.66,7.6,1.4192,M,3.763,0.746,0.027,2_5,43049905.8,
155707,20.39,11.41,5.299,F,8.727,1.044,,3_7,32085317.6,
155766,NA,4.89,0.2802,,1.51,0.133,,7_1,4485156.75,
155767,11.89,6.1,0.6012,,2.806,0.28,,7_2,6234070.94,
158918,17.2,8.5,1.7676,F,2.78,0.509,,2_4,38980576.55,
162269,20.88,11.55,5.3774,F,9.798,0.843,,2_6,29545632.43,
162270,14.8,7.73,1.3273,F,3.317,0.429,,4_4,9622939.49,
162274,16.39,8.2,1.8153,F,4.19,0.208,,3_6,12911990.29,
162275,17.49,9.78,3.4954,F,5.004,0.421,,1_6,17207896.15,
162582,20.34,10.38,2.698,F,8.029,0.794,,4_1,32119647.17,
163034,17.87,9.4,2.3303,F,6.006,0.388,,1_7,19484461.96,
163037,17.61,9.3,1.8341,F,5.978,0.72,,1_10,17448159.61,
163043,18.11,9.45,2.2485,F,4.128,0.821,,1_5,18617425.51,
163649,13.34,6.4,0.8722,F,2.609,0.165,,4_10,6800581.86,
164258,NA,11.8,5.694,F,7.093,0.872,,2_2,28165385.26,
164260,16.57,8.25,1.4509,F,3.127,0.701,,3_10,11967455.53,
164261,25.66,14,9.1134,M,11.267,3.478,,3_5,39443750.19,
164327,17.72,9.93,2.265,F,4.295,0.579,,2_1,16170594.08,
164809,15.52,7.97,1.1393,F,2.628,0.456,,4_5,10452614.87,
131476_2,18.03,8,2.2951,M,9.653,3.055,0.097,6_4,16445045.29,
131476_3,18.21,9.5,3.5203,M,9.761,2.928,0.099,6_1,44360311.47,
131481_2,17.82,9.2,2.3527,M,11.064,1.028,0.114,6_9,45341936.17,
131481_3,18.48,9.4,2.6556,M,9.898,2.007,0.058,6_8,42139177.83,
131488_1,17.97,9.6,3.0128,M,7.955,2.055,0.092,6_2,24710340.13,
131718_5,16,8.1,1.7633,M,7.872,1.171,0.074,6_10,31933618.41,
131995_2,10.14,5.1,0.3802,,1.184,0.177,,7_6,5187381.85,
149514_2,19.5,9.5,3.3463,F,6.851,0.544,,4_3,17937480.84,
149515_1,12.27,6.3,0.7043,F,2.145,0.116,,1_2,6191133.57,
149515_2,13.06,6.8,0.9484,F,2.314,0.292,,1_3,5182924.47,
149516_1,12.38,6.41,0.739,F,2.253,0.162,,2_7,5363306.26,
158907_2,13.97,7.2,1.1303,F,2.494,0.233,,2_10,9854023.35,
158907_3,14.66,7.41,1.3588,M,3.974,0.544,,3_2,10055890.58,
158907_4,15.51,7.9,1.6714,M,4.478,1.073,0.048,3_3,15739529.01,
162266_2,18.71,9.45,2.815,M,10.426,2.226,0.059,4_6,37467219.96,
162268_1,14.41,7.2,1.0108,F,3.828,0.238,0.017,1_8,13129840.99,
162268_2,19.18,10.4,4.58,F,7.7,0.711,0.019,1_9,24480568.69,
164258_2,21.83,12.1,5.781,F,7.678,1.059,,2_3,10873978.8,
164262_1,NA,7.4,0.9978,F,3.046,0.404,,4_8,10816690.8,
164263_1,17.27,8.97,1.955,M,4.891,1.028,,2_8,15418279.7,
164263_3,20.15,10.51,3.4125,F,8.526,0.994,,3_1,28528645.96,
164264_1,15.35,7.5,0.9394,F,3.73,0.223,0.031,1_1,8671341.49,
164821_1,14.07,7.2,0.8748,M,3.104,0.532,0.03,3_8,10371617.88,
164821_2,19.54,9.85,3.4898,F,5.806,1.007,,3_9,20099992.12,
70584_1,14.92,7.3,1.3249,M,5.55,1.047,0.032,5_1,13910172.29,
70584_2,16.74,8.7,2.3079,M,6.649,1.426,0.049,5_2,20902883.35,
70587_1,NA,8.21,1.801,M,6.534,1.937,0.06,6_3,30023752.4,
131456,10.91,,,M,2.813,0.405,NA,8_7,8613278.09,AO covered by skin
131579,17.82,,,M,11.755,1.091,0.042,8_3,83167602.4,
155700,20.1,,,M,15.813,1.923,0.082,8_6,138052577,
158775,18.87,,,M,8.826,2.313,0.192,8_2,83702067.53,
164805_1,11.36,,,M,3.492,0.324,0.012,8_4,13893633.39,
164805_2,14.55,,,M,2.7,0.437,0.022,8_5,12412151.43,
131723,NA,,,F,5.146,0.346,,8_1,39588539.8,
131981,11.38,,,M,2.451,0.26,0.018,8_8,4522200.9,
131650,9.23,,,M,1.38,0.442,,8_9,4236733.68,ao covered 
